question,answer
What items am I allowed to bring to the exam hall?,"You are allowed to bring only permitted stationery (pens, pencils, erasers), your admit card/student ID, and a basic analogue watch. Digital devices, calculators (unless specifically allowed by the subject), textbooks, written notes, and smart accessories are strictly prohibited."
When and where is my next exam scheduled?,"Your next exam is scheduled according to your official university timetable or exam notification. Please check your student portal, official notice board, or contact your academic coordinator for the exact date, time, and location of your next exam."
How can I download the syllabus?,University website → Academics → Syllabus section OR student portal download.
When will the timetable be released?,The timetable is posted on the portal/notice board before the semester begins.
What are the attendance rules?,Minimum 75% attendance (or per university regulation) required to appear in exams.
Where can I download my exam fee payment receipt?,You can download your exam fee payment receipt from the Student Portal under the Fee Payment or Transactions section. Log in using your student ID and click on Download Receipt for the respective semester.
Where can I find the option to edit my email ID in my student profile?,"Go to your Student Profile on the university portal and click on the Edit Profile option. There, you can update your email ID and other personal details if the option is enabled by the admin."
Can I update my email address through the student login dashboard?,"Yes, you can update your email address from the student login dashboard under the Profile Settings section. If the option is disabled, you must contact the Student Records Office for manual assistance."
How can I check my results online through the student portal?,"Log in to the university student portal, go to the Results or Exam tab, and select your semester. Your marks or grade sheet will be displayed, and you can also download the result PDF."
Whom should I contact to resolve fee payment issues?,"For any fee payment issues, contact the Accounts Department or Finance Office immediately."
How can I download my result?,You can check your results online on the University Result Portal using your roll number.
When are semester examinations conducted?,Semester exams are conducted twice a year — in December for odd semesters and June for even semesters.
In which months are semester exams held?,Semester exams are conducted twice a year — in December for odd semesters and June for even semesters.
When do odd and even semester exams take place?,Semester exams are conducted twice a year — in December for odd semesters and June for even semesters.
What is the schedule for semester exams?,Semester exams are conducted twice a year — in December for odd semesters and June for even semesters.
How can I find the exam timetable?,You can view or download the exam timetable from the university's official website under the Examination section.
How can I check the exam timetable?,You can view or download the exam timetable from the university's official website under the Examination section.
Where can I find the exam schedule?,You can view or download the exam timetable from the university's official website under the Examination section.
How do I download the exam timetable?,You can view or download the exam timetable from the university's official website under the Examination section.
Where is the exam timetable published?,You can view or download the exam timetable from the university's official website under the Examination section.
How do I download my admit card?,Exam admit cards are available for download from the Student Login Portal one week before exams.
When will admit cards be released?,Exam admit cards are available for download from the Student Login Portal one week before exams.
How can I access my hall ticket?,Exam admit cards are available for download from the Student Login Portal one week before exams.
Is the exam admit card available online?,Exam admit cards are available for download from the Student Login Portal one week before exams.
What should I bring to the exam hall?,"You must carry your Admit Card, College ID card, and any other documents mentioned in the exam instructions."
Which documents are required during exams?,"You must carry your Admit Card, College ID card, and any other documents mentioned in the exam instructions."
Is college ID mandatory for exams?,"You must carry your Admit Card, College ID card, and any other documents mentioned in the exam instructions."
How do I register for semester exams?,"Log in to your Student Portal, go to Exam Registration, select subjects, and submit before the due date."
Where can I do exam registration?,"Log in to your Student Portal, go to Exam Registration, select subjects, and submit before the due date."
What is the procedure for exam registration?,"Log in to your Student Portal, go to Exam Registration, select subjects, and submit before the due date."
Is there any penalty for late exam registration?,Late fee varies based on the delay — usually Rs 100–500 depending on the number of days delayed.
How much late fee is charged for exams?,Late fee varies based on the delay — usually Rs 100–500 depending on the number of days delayed.
What happens if I miss the exam registration deadline?,Late fee varies based on the delay — usually Rs 100–500 depending on the number of days delayed.
What is the schedule for internal exams?,"Internal exams are held mid-semester, usually in October and March."
In which months are internal exams held?,"Internal exams are held mid-semester, usually in October and March."
When do mid-semester exams take place?,"Internal exams are held mid-semester, usually in October and March."
When are exam results announced?,Results are usually declared within 4-5 months after the last examination date.
When will semester results be declared?,Results are usually declared within 4-5 months after the last examination date.
How long does it take to declare exam results?,Results are usually declared within 4-5 months after the last examination date.
What is the expected result date?,Results are usually declared within 4-5 months after the last examination date.
How do I check my results online?,You can check your results online on the University Result Portal using your roll number.
How can I view my semester results?,You can check your results online on the University Result Portal using your roll number.
Where is the university result portal?,You can check your results online on the University Result Portal using your roll number.
Are calculators allowed in exams?,"Yes, you can use calculator in your university exams."
Are mobile phones allowed in exams?,"Mobile phones, smartwatches, notes, and electronic devices are strictly not allowed during exams."
What things are prohibited during exams?,"Mobile phones, smartwatches, notes, and electronic devices are strictly not allowed during exams."
